Accelerometer,,,
t (msec),Accel x, Accel y, Accel z
0,0.15,2.3,9.19
50.24,0.15,2.3,9.19
69.82,0.15,2.3,9.19
89.74,1.38,1.84,9.19
109.74,1.38,1.84,9.19
129.73,1.38,1.84,9.19
151.91,1.38,1.84,10.27
169.75,0.15,1.23,10.27
189.74,0.15,1.23,10.27
209.73,0.15,1.23,8.73
229.74,0.15,1.23,8.73
259.08,1.07,1.69,8.73
269.83,1.07,1.69,8.73
300.18,1.07,1.69,8.12
312.15,1.07,1.84,8.12
329.81,0.15,1.84,8.12
350.08,0.15,1.84,8.27
369.8,0.15,1.84,8.27
389.82,0.15,1.69,8.27
409.79,0.15,1.69,8.27
429.83,0.15,1.69,8.73
450.16,0.15,1.69,8.73
470.42,0.15,1.69,8.73
491.15,0.15,1.69,8.73
509.81,0.15,1.69,8.89
530.18,0.31,1.69,8.89
549.76,0.31,1.69,8.89
569.96,0.31,1.69,8.89
589.73,0.31,1.84,9.81
609.82,-1.07,1.84,9.81
630.15,-1.07,1.84,9.81
650.15,-1.07,1.38,10.57
669.82,-1.07,1.38,10.57
689.78,-1.07,1.38,10.57
709.74,-1.38,1.38,10.57
729.75,-1.38,1.38,11.03
751.93,-1.38,1.69,11.03
769.75,-1.38,1.69,11.03
789.73,-0.46,1.69,10.42
809.73,-0.46,1.69,10.42
829.76,-0.46,1.69,10.42
850.33,-0.46,1.69,10.42
869.76,-0.46,1.69,7.81
889.73,-0.92,1.69,7.81
909.74,-0.92,1.69,7.81
929.73,-0.92,1.69,7.81
950.33,-0.92,1.84,7.05
969.73,-0.92,1.84,7.05
989.73,-0.61,1.84,7.05
1009.73,-0.61,1.84,7.05
1029.75,-0.61,1.84,8.27
1050.33,-0.61,1.84,8.27
1070.17,-0.77,1.84,8.27
1090.14,-0.77,1.84,9.35
1109.74,-0.77,1.84,9.35
1129.75,-0.77,1.84,9.35
1150.34,-1.07,1.84,9.35
1169.73,-1.07,1.99,9.35
1189.75,-1.07,1.99,10.88
1209.73,-0.15,1.99,10.88
1229.74,-0.15,1.99,10.88
1250.31,-0.15,1.38,10.88
1269.74,-0.15,1.38,7.66
1289.74,0.46,1.38,7.66
1309.73,0.46,2.15,7.66
1329.77,0.46,2.15,7.66
1350.32,0.46,2.15,8.58
1369.76,0.61,2.15,8.58
1389.74,0.61,2.3,8.58
1409.74,0.61,2.3,6.28
1429.74,0.61,2.3,6.28
1450.34,-2.15,2.3,6.28
1469.74,-2.15,2.45,6.28
1489.73,-2.15,2.45,0.31
